SEGGER J-Link V9.18 - Real time terminal output
SEGGER J-Link ARM Pro V12.0, SN=601012478
Process: JLinkGDBServerCL.exe
W (18724) cellular: ec800m process status=10
W (18729) cellular: ec800m process status=10
W (18734) cellular: ec800m process status=10
W (18739) cellular: ec800m process status=10
W (18744) cellular: ec800m process status=10
W (18749) cellular: ec800m process status=10
W (18754) cellular: ec800m process status=10
W (18759) cellular: ec800m process status=10
W (18764) cellular: ec800m process status=10
W (18769) cellular: ec800m process status=10
W (18774) cellular: ec800m process status=10
W (18779) cellular: ec800m process status=10
W (18784) cellular: ec800m process status=10
W (18789) cellular: ec800m process status=10
W (18794) cellular: ec800m process status=10
W (18799) cellular: ec800m process status=10
W (18804) cellular: ec800m process status=10
W (18809) cellular: ec800m process status=10
W (18814) cellular: ec800m process status=10
W (18819) cellular: ec800m process status=10
W (18824) cellular: ec800m process status=10
W (18829) cellular: ec800m process status=10
W (18834) cellular: ec800m process status=10
W (18839) cellular: ec800m process status=10
W (18844) cellular: ec800m process status=10
W (18849) cellular: ec800m process status=10
W (18854) cellular: ec800m process status=10
W (18859) cellular: ec800m process status=10
W (18864) cellular: ec800m process status=10
W (18869) cellular: ec800m process status=10
W (18874) cellular: ec800m process status=10
W (18879) cellular: ec800m process status=10
W (18884) cellular: ec800m process status=10
W (18889) cellular: ec800m process status=10
W (18894) cellular: ec800m process status=10
W (18899) cellular: ec800m process status=10
W (18904) cellular: ec800m process status=10
W (18909) cellular: ec800m process status=10
W (18914) cellular: ec800m process status=10
W (18919) cellular: ec800m process status=10
W (18924) cellular: ec800m process status=10
W (18929) cellular: ec800m process status=10
W (18934) cellular: ec800m process status=10
W (18939) cellular: ec800m process status=10
W (18944) cellular: ec800m process status=10
W (18949) cellular: ec800m process status=10
W (18954) cellular: ec800m process status=10
W (18959) cellular: ec800m process status=10
W (18964) cellular: ec800m process status=10
W (18969) cellular: ec800m process status=10
W (18974) cellular: ec800m process status=10
W (18979) cellular: ec800m process status=10
W (18984) cellular: ec800m process status=10
W (18989) cellular: ec800m process status=10
W (18994) cellular: ec800m process status=10
W (18999) cellular: ec800m process status=10
W (19004) cellular: ec800m process status=10
W (19009) cellular: ec800m process status=10
W (19014) cellular: ec800m process status=10
W (19019) cellular: ec800m process status=10
W (19024) cellular: ec800m process status=10
W (19029) cellular: ec800m process status=10
W (19034) cellular: ec800m process status=10
W (19039) cellular: ec800m process status=10
W (19044) cellular: ec800m process status=10
W (19049) cellular: ec800m process status=10
W (19054) cellular: ec800m process status=10
W (19059) cellular: ec800m process status=10
W (19064) cellular: ec800m process status=10
W (19069) cellular: ec800m process status=10
W (19074) cellular: ec800m process status=10
W (19079) cellular: ec800m process status=10
W (19084) cellular: ec800m process status=10
W (19089) cellular: ec800m process status=10
W (19094) cellular: ec800m process status=10
W (19099) cellular: ec800m process status=10
W (19104) cellular: ec800m process status=10
W (19109) cellular: ec800m process status=10
W (19114) cellular: ec800m process status=10
W (19119) cellular: ec800m process status=10
W (19124) cellular: ec800m process status=10
W (19129) cellular: ec800m process status=10
W (19134) cellular: ec800m process status=10
W (19139) cellular: ec800m process status=10
W (19144) cellular: ec800m process status=10
W (19149) cellular: ec800m process status=10
W (19154) cellular: ec800m process status=10
W (19159) cellular: ec800m process status=10
W (19164) cellular: ec800m process status=10
W (19169) cellular: ec800m process status=10
W (19174) cellular: ec800m process status=10
W (19179) cellular: ec800m process status=10
W (19184) cellular: ec800m process status=10
W (19189) cellular: ec800m process status=10
W (19194) cellular: ec800m process status=10
W (19199) cellular: ec800m process status=10
W (19204) cellular: ec800m process status=10
W (19209) cellular: ec800m process status=10
W (19214) cellular: ec800m process status=10
W (19219) cellular: ec800m process status=10
W (19224) cellular: ec800m process status=10
W (19229) cellular: ec800m process status=10
W (19234) cellular: ec800m process status=10
W (19239) cellular: ec800m process status=10
W (19244) cellular: ec800m process status=10
W (19249) cellular: ec800m process status=10
W (19254) cellular: ec800m process status=10
W (19259) cellular: ec800m process status=10
W (19264) cellular: ec800m process status=10
W (19269) cellular: ec800m process status=10
W (19274) cellular: ec800m process status=10
W (19279) cellular: ec800m process status=10
W (19284) cellular: ec800m process status=10
W (19289) cellular: ec800m process status=10
W (19294) cellular: ec800m process status=10
W (19299) cellular: ec800m process status=10
W (19304) cellular: ec800m process status=10
W (19309) cellular: ec800m process status=10
W (19314) cellular: ec800m process status=10
W (19319) cellular: ec800m process status=10
W (19324) cellular: ec800m process status=10
W (19329) cellular: ec800m process status=10
W (19334) cellular: ec800m process status=10
W (19339) cellular: ec800m process status=10
W (19344) cellular: ec800m process status=10
W (19349) cellular: ec800m process status=10
W (19354) cellular: ec800m process status=10
W (19359) cellular: ec800m process status=10
W (19364) cellular: ec800m process status=10
W (19369) cellular: ec800m process status=10
W (19374) cellular: ec800m process status=10
W (19379) cellular: ec800m process status=10
W (19384) cellular: ec800m process status=10
W (19389) cellular: ec800m process status=10
W (19394) cellular: ec800m process status=10
W (19399) cellular: ec800m process status=10
W (19404) cellular: ec800m process status=10
W (19409) cellular: ec800m process status=10
W (19414) cellular: ec800m process status=10
W (19419) cellular: ec800m process status=10
W (19424) cellular: ec800m process status=10
W (19429) cellular: ec800m process status=10
W (19434) cellular: ec800m process status=10
W (19439) cellular: ec800m process status=10
W (19444) cellular: ec800m process status=10
W (19449) cellular: ec800m process status=10
W (19454) cellular: ec800m process status=10
W (19459) cellular: ec800m process status=10
W (19464) cellular: ec800m process status=10
W (19469) cellular: ec800m process status=10
W (19474) cellular: ec800m process status=10
W (19479) cellular: ec800m process status=10
W (19484) cellular: ec800m process status=10
W (19489) cellular: ec800m process status=10
W (19494) cellular: ec800m process status=10
W (19499) cellular: ec800m process status=10
W (19504) cellular: ec800m process status=10
W (19509) cellular: ec800m process status=10
W (19514) cellular: ec800m process status=10
W (19519) cellular: ec800m process status=10
W (19524) cellular: ec800m process status=10
W (19529) cellular: ec800m process status=10
W (19534) cellular: ec800m process status=10
W (19539) cellular: ec800m process status=10
W (19544) cellular: ec800m process status=10
W (19549) cellular: ec800m process status=10
W (19554) cellular: ec800m process status=10
W (19559) cellular: ec800m process status=10
W (19564) cellular: ec800m process status=10
W (19569) cellular: ec800m process status=10
W (19574) cellular: ec800m process status=10
W (19579) cellular: ec800m process status=10
W (19584) cellular: ec800m process status=10
W (19589) cellular: ec800m process status=10
W (19594) cellular: ec800m process status=10
W (19599) cellular: ec800m process status=10
W (19604) cellular: ec800m process status=10
W (19609) cellular: ec800m process status=10
W (19614) cellular: ec800m process status=10
W (19619) cellular: ec800m process status=10
W (19624) cellular: ec800m process status=10
W (19629) cellular: ec800m process status=10
W (19634) cellular: ec800m process status=10
W (19639) cellular: ec800m process status=10
W (19644) cellular: ec800m process status=10
W (19649) cellular: ec800m process status=10
W (19654) cellular: ec800m process status=10
W (19659) cellular: ec800m process status=10
W (19664) cellular: ec800m process status=10
W (19669) cellular: ec800m process status=10
W (19674) cellular: ec800m process status=10
W (19679) cellular: ec800m process status=10
W (19684) cellular: ec800m process status=10
W (19689) cellular: ec800m process status=10
W (19694) cellular: ec800m process status=10
W (19699) cellular: ec800m process status=10
W (19704) cellular: ec800m process status=10
W (19709) cellular: ec800m process status=10
W (19714) cellular: ec800m process status=10
W (19719) cellular: ec800m process status=10
W (19724) cellular: ec800m process status=10
W (19729) cellular: ec800m process status=10
W (19734) cellular: ec800m process status=10
W (19739) cellular: ec800m process status=10
W (19744) cellular: ec800m process status=10
W (19749) cellular: ec800m process status=10
W (19754) cellular: ec800m process status=10
W (19759) cellular: ec800m process status=10
W (19764) cellular: ec800m process status=10
W (19769) cellular: ec800m process status=10
W (19774) cellular: ec800m process status=10
W (19779) cellular: ec800m process status=10
W (19784) cellular: ec800m process status=10
W (19789) cellular: ec800m process status=10
W (19794) cellular: ec800m process status=10
W (19799) cellular: ec800m process status=10
W (19804) cellular: ec800m process status=10
W (19809) cellular: ec800m process status=10
W (19814) cellular: ec800m process status=10
W (19819) cellular: ec800m process status=10
W (19824) cellular: ec800m process status=10
W (19829) cellular: ec800m process status=10
W (19834) cellular: ec800m process status=10
W (19839) cellular: ec800m process status=10
W (19844) cellular: ec800m process status=10
W (19849) cellular: ec800m process status=10
W (19854) cellular: ec800m process status=10
W (19859) cellular: ec800m process status=10
W (19864) cellular: ec800m process status=10
W (19869) cellular: ec800m process status=10
W (19874) cellular: ec800m process status=10
W (19879) cellular: ec800m process status=10
W (19884) cellular: ec800m process status=10
W (19889) cellular: ec800m process status=10
W (19894) cellular: ec800m process status=10
W (19899) cellular: ec800m process status=10
W (19904) cellular: ec800m process status=10
W (19909) cellular: ec800m process status=10
W (19914) cellular: ec800m process status=10
W (19919) cellular: ec800m process status=10
W (19924) cellular: ec800m process status=10
W (19929) cellular: ec800m process status=10
W (19934) cellular: ec800m process status=10
W (19939) cellular: ec800m process status=10
W (19944) cellular: ec800m process status=10
W (19949) cellular: ec800m process status=10
W (19954) cellular: ec800m process status=10
W (19959) cellular: ec800m process status=10
W (19964) cellular: ec800m process status=10
W (19969) cellular: ec800m process status=10
W (19974) cellular: ec800m process status=10
W (19979) cellular: ec800m process status=10
W (19984) cellular: ec800m process status=10
W (19989) cellular: ec800m process status=10
W (19994) cellular: ec800m process status=10
W (19999) cellular: ec800m process status=10
W (20004) cellular: ec800m process status=10
W (20009) cellular: ec800m process status=10
W (20014) cellular: ec800m process status=10
W (20019) cellular: ec800m process status=10
W (20024) cellular: ec800m process status=10
W (20029) cellular: ec800m process status=10
W (20034) cellular: ec800m process status=10
W (20039) cellular: ec800m process status=10
W (20044) cellular: ec800m process status=10
W (20049) cellular: ec800m process status=10
W (20054) cellular: ec800m process status=10
W (20059) cellular: ec800m process status=10
W (20064) cellular: ec800m process status=10
W (20069) cellular: ec800m process status=10
W (20074) cellular: ec800m process status=10
W (20079) cellular: ec800m process status=10
W (20084) cellular: ec800m process status=10
W (20089) cellular: ec800m process status=10
W (20094) cellular: ec800m process status=10
W (20099) cellular: ec800m process status=10
W (20104) cellular: ec800m process status=10
W (20109) cellular: ec800m process status=10
W (20114) cellular: ec800m process status=10
W (20119) cellular: ec800m process status=10
W (20124) cellular: ec800m process status=10
W (20129) cellular: ec800m process status=10
W (20134) cellular: ec800m process status=10
W (20139) cellular: ec800m process status=10
W (20144) cellular: ec800m process status=10
W (20149) cellular: ec800m process status=10
W (20154) cellular: ec800m process status=10
W (20159) cellular: ec800m process status=10
W (20164) cellular: ec800m process status=10
W (20169) cellular: ec800m process status=10
W (20174) cellular: ec800m process status=10
W (20179) cellular: ec800m process status=10
W (20184) cellular: ec800m process status=10
W (20189) cellular: ec800m process status=10
W (20194) cellular: ec800m process status=10
W (20199) cellular: ec800m process status=10
W (20204) cellular: ec800m process status=10
W (20209) cellular: ec800m process status=10
W (20214) cellular: ec800m process status=10
W (20219) cellular: ec800m process status=10
W (20224) cellular: ec800m process status=10
W (20229) cellular: ec800m process status=10
W (20234) cellular: ec800m process status=10
W (20239) cellular: ec800m process status=10
W (20244) cellular: ec800m process status=10
W (20249) cellular: ec800m process status=10
W (20254) cellular: ec800m process status=10
W (20259) cellular: ec800m process status=10
W (20264) cellular: ec800m process status=10
W (20269) cellular: ec800m process status=10
W (20274) cellular: ec800m process status=10
W (20279) cellular: ec800m process status=10
W (20284) cellular: ec800m process status=10
W (20289) cellular: ec800m process status=10
W (20294) cellular: ec800m process status=10
W (20299) cellular: ec800m process status=10
W (20304) cellular: ec800m process status=10
W (20309) cellular: ec800m process status=10
W (20314) cellular: ec800m process status=10
W (20319) cellular: ec800m process status=10
W (20324) cellular: ec800m process status=10
W (20329) cellular: ec800m process status=10
W (20334) cellular: ec800m process status=10
W (20339) cellular: ec800m process status=10
W (20344) cellular: ec800m process status=10
W (20349) cellular: ec800m process status=10
W (20354) cellular: ec800m process status=10
W (20359) cellular: ec800m process status=10
W (20364) cellular: ec800m process status=10
W (20369) cellular: ec800m process status=10
W (20374) cellular: ec800m process status=10
W (20379) cellular: ec800m process status=10
W (20384) cellular: ec800m process status=10
W (20389) cellular: ec800m process status=10
W (20394) cellular: ec800m process status=10
W (20399) cellular: ec800m process status=10
W (20404) cellular: ec800m process status=10
W (20409) cellular: ec800m process status=10
W (20414) cellular: ec800m process status=10
W (20419) cellular: ec800m process status=10
W (20424) cellular: ec800m process status=10
W (20429) cellular: ec800m process status=10
W (20434) cellular: ec800m process status=10
W (20439) cellular: ec800m process status=10
W (20444) cellular: ec800m process status=10
W (20449) cellular: ec800m process status=10
W (20454) cellular: ec800m process status=10
W (20459) cellular: ec800m process status=10
W (20464) cellular: ec800m process status=10
W (20469) cellular: ec800m process status=10
W (20474) cellular: ec800m process status=10
W (20479) cellular: ec800m process status=10
W (20484) cellular: ec800m process status=10
W (20489) cellular: ec800m process status=10
W (20494) cellular: ec800m process status=10
W (20499) cellular: ec800m process status=10
W (20504) cellular: ec800m process status=10
W (20509) cellular: ec800m process status=10
W (20514) cellular: ec800m process status=10
W (20519) cellular: ec800m process status=10
W (20524) cellular: ec800m process status=10
W (20529) cellular: ec800m process status=10
W (20534) cellular: ec800m process status=10
W (20539) cellular: ec800m process status=10
W (20544) cellular: ec800m process status=10
W (20549) cellular: ec800m process status=10
W (20554) cellular: ec800m process status=10
W (20559) cellular: ec800m process status=10
W (20564) cellular: ec800m process status=10
W (20569) cellular: ec800m process status=10
W (20574) cellular: ec800m process status=10
W (20579) cellular: ec800m process status=10
W (20584) cellular: ec800m process status=10
W (20589) cellular: ec800m process status=10
W (20594) cellular: ec800m process status=10
W (20599) cellular: ec800m process status=10
W (20604) cellular: ec800m process status=10
W (20609) cellular: ec800m process status=10
W (20614) cellular: ec800m process status=10
W (20619) cellular: ec800m process status=10
W (20624) cellular: ec800m process status=10
W (20629) cellular: ec800m process status=10
W (20634) cellular: ec800m process status=10
W (20639) cellular: ec800m process status=10
W (20644) cellular: ec800m process status=10
W (20649) cellular: ec800m process status=10
W (20654) cellular: ec800m process status=10
W (20659) cellular: ec800m process status=10
W (20664) cellular: ec800m process status=10
W (20669) cellular: ec800m process status=10
W (20674) cellular: ec800m process status=10
W (20679) cellular: ec800m process status=10
W (20684) cellular: ec800m process status=10
W (20689) cellular: ec800m process status=10
W (20694) cellular: ec800m process status=10
W (20699) cellular: ec800m process status=10
W (20704) cellular: ec800m process status=10
W (20709) cellular: ec800m process status=10
W (20714) cellular: ec800m process status=10
W (20719) cellular: ec800m process status=10
W (20724) cellular: ec800m process status=10
W (20729) cellular: ec800m process status=10
W (20734) cellular: ec800m process status=10
W (20739) cellular: ec800m process status=10
W (20744) cellular: ec800m process status=10
W (20749) cellular: ec800m process status=10
W (20754) cellular: ec800m process status=10
W (20759) cellular: ec800m process status=10
W (20764) cellular: ec800m process status=10
W (20769) cellular: ec800m process status=10
W (20774) cellular: ec800m process status=10
W (20779) cellular: ec800m process status=10
W (20784) cellular: ec800m process status=10
W (20789) cellular: ec800m process status=10
W (20794) cellular: ec800m process status=10
W (20799) cellular: ec800m process status=10
W (20804) cellular: ec800m process status=10
W (20809) cellular: ec800m process status=10
W (20814) cellular: ec800m process status=10
W (20819) cellular: ec800m process status=10
W (20824) cellular: ec800m process status=10
W (20829) cellular: ec800m process status=10
W (20834) cellular: ec800m process status=10
W (20839) cellular: ec800m process status=10
W (20844) cellular: ec800m process status=10
W (20849) cellular: ec800m process status=10
W (20854) cellular: ec800m process status=10
W (20859) cellular: ec800m process status=10
W (20864) cellular: ec800m process status=10
W (20869) cellular: ec800m process status=10
W (20874) cellular: ec800m process status=10
W (20879) cellular: ec800m process status=10
W (20884) cellular: ec800m process status=10
W (20889) cellular: ec800m process status=10
W (20894) cellular: ec800m process status=10
W (20899) cellular: ec800m process status=10
W (20904) cellular: ec800m process status=10
W (20909) cellular: ec800m process status=10
W (20914) cellular: ec800m process status=10
W (20919) cellular: ec800m process status=10
W (20924) cellular: ec800m process status=10
W (20929) cellular: ec800m process status=10
W (20934) cellular: ec800m process status=10
W (20939) cellular: ec800m process status=10
W (20944) cellular: ec800m process status=10
W (20949) cellular: ec800m process status=10
W (20954) cellular: ec800m process status=10
W (20959) cellular: ec800m process status=10
W (20964) cellular: ec800m process status=10
W (20969) cellular: ec800m process status=10
W (20974) cellular: ec800m process status=10
W (20979) cellular: ec800m process status=10
W (20984) cellular: ec800m process status=10
W (20989) cellular: ec800m process status=10
W (20994) cellular: ec800m process status=10
W (20999) cellular: ec800m process status=10
W (21004) cellular: ec800m process status=10
W (21009) cellular: ec800m process status=10
W (21014) cellular: ec800m process status=10
W (21019) cellular: ec800m process status=10
W (21024) cellular: ec800m process status=10
W (21029) cellular: ec800m process status=10
W (21034) cellular: ec800m process status=10
W (21039) cellular: ec800m process status=10
W (21044) cellular: ec800m process status=10
W (21049) cellular: ec800m process status=10
W (21054) cellular: ec800m process status=10
W (21059) cellular: ec800m process status=10
W (21064) cellular: ec800m process status=10
W (21069) cellular: ec800m process status=10
W (21074) cellular: ec800m process status=10
W (21079) cellular: ec800m process status=10
W (21084) cellular: ec800m process status=10
W (21089) cellular: ec800m process status=10
W (21094) cellular: ec800m process status=10
W (21099) cellular: ec800m process status=10
W (21104) cellular: ec800m process status=10
W (21109) cellular: ec800m process status=10
W (21114) cellular: ec800m process status=10
W (21119) cellular: ec800m process status=10
W (21124) cellular: ec800m process status=10
W (21129) cellular: ec800m process status=10
W (21134) cellular: ec800m process status=10
W (21139) cellular: ec800m process status=10
W (21144) cellular: ec800m process status=10
W (21149) cellular: ec800m process status=10
W (21154) cellular: ec800m process status=10
W (21159) cellular: ec800m process status=10
W (21164) cellular: ec800m process status=10
W (21169) cellular: ec800m process status=10
W (21174) cellular: ec800m process status=10
W (21179) cellular: ec800m process status=10
W (21184) cellular: ec800m process status=10
W (21189) cellular: ec800m process status=10
W (21194) cellular: ec800m process status=10
W (21199) cellular: ec800m process status=10
W (21204) cellular: ec800m process status=10
W (21209) cellular: ec800m process status=10
W (21214) cellular: ec800m process status=10
W (21219) cellular: ec800m process status=10
W (21224) cellular: ec800m process status=10
W (21229) cellular: ec800m process status=10
W (21234) cellular: ec800m process status=10
W (21239) cellular: ec800m process status=10
W (21244) cellular: ec800m process status=10
W (21249) cellular: ec800m process status=10
W (21254) cellular: ec800m process status=10
W (21259) cellular: ec800m process status=10
W (21264) cellular: ec800m process status=10
W (21269) cellular: ec800m process status=10
W (21274) cellular: ec800m process status=10
W (21279) cellular: ec800m process status=10
W (21284) cellular: ec800m process status=10
W (21289) cellular: ec800m process status=10
W (21294) cellular: ec800m process status=10
W (21299) cellular: ec800m process status=10
W (21304) cellular: ec800m process status=10
W (21309) cellular: ec800m process status=10
W (21314) cellular: ec800m process status=10
W (21319) cellular: ec800m process status=10
W (21324) cellular: ec800m process status=10
W (21329) cellular: ec800m process status=10
W (21334) cellular: ec800m process status=10
W (21339) cellular: ec800m process status=10
W (21344) cellular: ec800m process status=10
W (21349) cellular: ec800m process status=10
W (21354) cellular: ec800m process status=10
W (21359) cellular: ec800m process status=10
W (21364) cellular: ec800m process status=10
W (21369) cellular: ec800m process status=10
W (21374) cellular: ec800m process status=10
W (21379) cellular: ec800m process status=10
W (21384) cellular: ec800m process status=10
W (21389) cellular: ec800m process status=10
W (21394) cellular: ec800m process status=10
W (21399) cellular: ec800m process status=10
W (21404) cellular: ec800m process status=10
W (21409) cellular: ec800m process status=10
W (21414) cellular: ec800m process status=10
W (21419) cellular: ec800m process status=10
W (21424) cellular: ec800m process status=10
W (21429) cellular: ec800m process status=10
W (21434) cellular: ec800m process status=10
W (21439) cellular: ec800m process status=10
W (21444) cellular: ec800m process status=10
W (21449) cellular: ec800m process status=10
W (21454) cellular: ec800m process status=10
W (21459) cellular: ec800m process status=10
W (21464) cellular: ec800m process status=10
W (21469) cellular: ec800m process status=10
W (21474) cellular: ec800m process status=10
W (21479) cellular: ec800m process status=10
W (21484) cellular: ec800m process status=10
W (21489) cellular: ec800m process status=10
W (21494) cellular: ec800m process status=10
W (21499) cellular: ec800m process status=10
W (21504) cellular: ec800m process status=10
W (21509) cellular: ec800m process status=10
W (21514) cellular: ec800m process status=10
W (21519) cellular: ec800m process status=10
W (21524) cellular: ec800m process status=10
W (21529) cellular: ec800m process status=10
W (21534) cellular: ec800m process status=10
W (21539) cellular: ec800m process status=10
W (21544) cellular: ec800m process status=10
W (21549) cellular: ec800m process status=10
W (21554) cellular: ec800m process status=10
W (21559) cellular: ec800m process status=10
W (21564) cellular: ec800m process status=10
W (21569) cellular: ec800m process status=10
W (21574) cellular: ec800m process status=10
W (21579) cellular: ec800m process status=10
W (21584) cellular: ec800m process status=10
W (21589) cellular: ec800m process status=10
W (21594) cellular: ec800m process status=10
W (21599) cellular: ec800m process status=10
W (21604) cellular: ec800m process status=10
W (21609) cellular: ec800m process status=10
W (21614) cellular: ec800m process status=10
W (21619) cellular: ec800m process status=10
W (21624) cellular: ec800m process status=10
W (21629) cellular: ec800m process status=10
W (21634) cellular: ec800m process status=10
W (21639) cellular: ec800m process status=10
W (21644) cellular: ec800m process status=10
W (21649) cellular: ec800m process status=10
W (21654) cellular: ec800m process status=10
W (21659) cellular: ec800m process status=10
W (21664) cellular: ec800m process status=10
W (21669) cellular: ec800m process status=10
W (21674) cellular: ec800m process status=10
W (21679) cellular: ec800m process status=10
W (21684) cellular: ec800m process status=10
W (21689) cellular: ec800m process status=10
W (21694) cellular: ec800m process status=10
W (21699) cellular: ec800m process status=10
W (21704) cellular: ec800m process status=10
W (21709) cellular: ec800m process status=10
W (21714) cellular: ec800m process status=10
W (21719) cellular: ec800m process status=10
W (21724) cellular: ec800m process status=10
W (21729) cellular: ec800m process status=10
W (21734) cellular: ec800m process status=10
W (21739) cellular: ec800m process status=10
W (21744) cellular: ec800m process status=10
W (21749) cellular: ec800m process status=10
W (21754) cellular: ec800m process status=10
W (21759) cellular: ec800m process status=10
W (21764) cellular: ec800m process status=10
W (21769) cellular: ec800m process status=10
W (21774) cellular: ec800m process status=10
W (21779) cellular: ec800m process status=10
W (21784) cellular: ec800m process status=10
W (21789) cellular: ec800m process status=10
W (21794) cellular: ec800m process status=10
W (21799) cellular: ec800m process status=10
W (21804) cellular: ec800m process status=10
W (21809) cellular: ec800m process status=10
W (21814) cellular: ec800m process status=10
W (21819) cellular: ec800m process status=10
W (21824) cellular: ec800m process status=10
W (21829) cellular: ec800m process status=10
W (21834) cellular: ec800m process status=10
W (21839) cellular: ec800m process status=10
W (21844) cellular: ec800m process status=10
W (21849) cellular: ec800m process status=10
W (21854) cellular: ec800m process status=10
W (21859) cellular: ec800m process status=10
W (21864) cellular: ec800m process status=10
W (21869) cellular: ec800m process status=10
W (21874) cellular: ec800m process status=10
W (21879) cellular: ec800m process status=10
W (21884) cellular: ec800m process status=10
W (21889) cellular: ec800m process status=10
W (21894) cellular: ec800m process status=10
W (21899) cellular: ec800m process status=10
W (21904) cellular: ec800m process status=10
W (21909) cellular: ec800m process status=10
W (21914) cellular: ec800m process status=10
W (21919) cellular: ec800m process status=10
W (21924) cellular: ec800m process status=10
W (21929) cellular: ec800m process status=10
W (21934) cellular: ec800m process status=10
W (21939) cellular: ec800m process status=10
W (21944) cellular: ec800m process status=10
W (21949) cellular: ec800m process status=10
W (21954) cellular: ec800m process status=10
W (21959) cellular: ec800m process status=10
W (21964) cellular: ec800m process status=10
W (21969) cellular: ec800m process status=10
W (21974) cellular: ec800m process status=10
W (21979) cellular: ec800m process status=10
W (21984) cellular: ec800m process status=10
W (21989) cellular: ec800m process status=10
W (21994) cellular: ec800m process status=10
W (21999) cellular: ec800m process status=10
W (22004) cellular: ec800m process status=10
W (22009) cellular: ec800m process status=10
W (22014) cellular: ec800m process status=10
W (22019) cellular: ec800m process status=10
W (22024) cellular: ec800m process status=10
W (22029) cellular: ec800m process status=10
W (22034) cellular: ec800m process status=10
W (22039) cellular: ec800m process status=10
W (22044) cellular: ec800m process status=10
W (22049) cellular: ec800m process status=10
W (22054) cellular: ec800m process status=10
W (22059) cellular: ec800m process status=10
W (22064) cellular: ec800m process status=10
W (22069) cellular: ec800m process status=10
W (22074) cellular: ec800m process status=10
W (22079) cellular: ec800m process status=10
W (22084) cellular: ec800m process status=10
W (22089) cellular: ec800m process status=10
W (22094) cellular: ec800m process status=10
W (22099) cellular: ec800m process status=10
W (22104) cellular: ec800m process status=10
W (22109) cellular: ec800m process status=10
W (22114) cellular: ec800m process status=10
W (22119) cellular: ec800m process status=10
W (22124) cellular: ec800m process status=10
W (22129) cellular: ec800m process status=10
W (22134) cellular: ec800m process status=10
W (22139) cellular: ec800m process status=10
W (22144) cellular: ec800m process status=10
W (22149) cellular: ec800m process status=10
W (22154) cellular: ec800m process status=10
W (22159) cellular: ec800m process status=10
W (22164) cellular: ec800m process status=10
W (22169) cellular: ec800m process status=10
W (22174) cellular: ec800m process status=10
W (22179) cellular: ec800m process status=10
W (22184) cellular: ec800m process status=10
W (22189) cellular: ec800m process status=10
W (22194) cellular: ec800m process status=10
W (22199) cellular: ec800m process status=10
W (22204) cellular: ec800m process status=10
W (22209) cellular: ec800m process status=10
W (22214) cellular: ec800m process status=10
W (22219) cellular: ec800m process status=10
W (22224) cellular: ec800m process status=10
W (22229) cellular: ec800m process status=10
W (22234) cellular: ec800m process status=10
W (22239) cellular: ec800m process status=10
